news_date,n_articles,n_pred_climate,climate_share,climate_intensity_mean,climate_intensity_sum,avg_tone_score,log_n_articles,log_n_pred_climate,log_climate_intensity_sum,is_core_climate,is_policy_regulation,is_physical_risk,is_energy_geopolitics,is_cleantech,is_activism_litigation
2015-04-02,4,0,0.0,0.3151193043093414,1.2604772172373655,0.0,1.6094379124341003,0.0,0.8155759490630979,0.0,0.0,1.0,0.0,0.0,0.0
2015-04-03,4,3,0.75,0.5194619048204169,2.0778476192816675,0.75,1.6094379124341003,1.3862943611198906,1.124230527784989,0.25,0.25,1.0,0.0,0.0,0.0
2015-04-04,1,0,0.0,0.3593033412068739,0.3593033412068739,0.0,0.6931471805599453,0.0,0.3069723193909695,1.0,0.0,0.0,0.0,0.0,0.0
2015-04-06,2,0,0.0,0.3436864276176203,0.6873728552352406,0.0,1.0986122886681098,0.0,0.523172795880184,0.5,0.0,1.0,0.0,0.0,0.0
2015-04-07,1,1,1.0,0.8880256692872167,0.8880256692872167,1.0,0.6931471805599453,0.6931471805599453,0.6355316636516555,1.0,1.0,0.0,0.0,0.0,0.0
2015-04-08,4,1,0.25,0.5216383526587396,2.0865534106349584,0.25,1.6094379124341003,0.6931471805599453,1.1270550672978978,0.75,0.5,0.25,0.0,0.0,0.0
2015-04-09,2,1,0.5,0.6278019729725932,1.2556039459451864,0.5,1.0986122886681098,0.6931471805599453,0.8134177623487153,0.5,0.5,0.5,0.0,0.0,0.0
2015-04-10,4,1,0.25,0.439501856560296,1.758007426241184,0.25,1.6094379124341003,0.6931471805599453,1.0145084719857531,0.25,0.25,0.75,0.0,0.25,0.0
2015-04-11,2,2,1.0,0.7299313341514401,1.4598626683028801,1.0,1.0986122886681098,1.0986122886681098,0.9001055224928102,1.0,0.5,0.0,0.0,0.0,0.0
2015-04-12,2,1,0.5,0.6775293116135668,1.3550586232271336,0.5,1.0986122886681098,0.6931471805599453,0.8565656202486311,0.5,0.5,1.0,0.5,0.5,0.0
2015-04-13,1,0,0.0,0.31556697565034086,0.31556697565034086,0.0,0.6931471805599453,0.0,0.27426773289725503,1.0,1.0,0.0,1.0,1.0,0.0
2015-04-16,3,3,1.0,0.7185702182113589,2.1557106546340767,1.0,1.3862943611198906,1.3862943611198906,1.1492137177394972,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0
2015-04-17,5,3,0.6,0.6217558655962492,3.108779327981246,0.6,1.791759469228055,1.3862943611198906,1.4131259839035817,1.0,0.4,0.8,0.4,0.4,0.0
2015-04-18,3,2,0.6666666666666666,0.7513967753620422,2.2541903260861265,0.6666666666666666,1.3862943611198906,1.0986122886681098,1.1799434969714828,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0
2015-04-20,4,3,0.75,0.7164364435183674,2.8657457740734698,0.75,1.6094379124341003,1.3862943611198906,1.3521546192016147,0.75,0.25,0.25,0.25,0.0,0.0
2015-04-21,1,0,0.0,0.43800044744780253,0.43800044744780253,0.0,0.6931471805599453,0.0,0.36325357045861356,0.0,0.0,1.0,0.0,0.0,0.0
2015-04-22,1,0,0.0,0.356177987529884,0.356177987529884,0.0,0.6931471805599453,0.0,0.3046704401447909,1.0,1.0,1.0,1.0,0.0,0.0
2015-04-23,2,1,0.5,0.417016334719189,0.834032669438378,0.5,1.0986122886681098,0.6931471805599453,0.6065171868917473,0.0,0.0,1.0,0.0,0.5,0.0
2015-04-24,1,1,1.0,0.9516244470510473,0.9516244470510473,1.0,0.6931471805599453,0.6931471805599453,0.6686620755520479,1.0,1.0,1.0,1.0,1.0,0.0
2015-04-25,1,0,0.0,0.4822618917086653,0.4822618917086653,0.0,0.6931471805599453,0.0,0.3935692263147099,0.0,0.0,1.0,0.0,0.0,0.0
2015-04-26,1,1,1.0,0.6871593260755678,0.6871593260755678,1.0,0.6931471805599453,0.6931471805599453,0.5230462425397593,1.0,0.0,0.0,0.0,0.0,0.0
2015-04-27,2,1,0.5,0.4263115909619767,0.8526231819239534,0.5,1.0986122886681098,0.6931471805599453,0.6166025709431094,1.0,0.0,0.5,0.0,0.0,0.0
2015-04-28,2,0,0.0,0.3851192183465951,0.7702384366931903,0.0,1.0986122886681098,0.0,0.5711142475093137,0.5,0.0,1.0,0.0,0.0,0.0
2015-04-29,4,0,0.0,0.2852757900318208,1.1411031601272832,0.0,1.6094379124341003,0.0,0.7613211915982384,0.0,0.0,1.0,0.0,0.0,0.0
2015-04-30,1,1,1.0,0.9572945700382368,0.9572945700382368,1.0,0.6931471805599453,0.6931471805599453,0.6715631983122221,1.0,0.0,1.0,0.0,0.0,0.0
2015-05-01,4,3,0.75,0.6269103579673432,2.5076414318693727,0.75,1.6094379124341003,1.3862943611198906,1.2549438548812906,0.5,0.5,0.75,0.25,0.0,0.0
2015-05-02,2,0,0.0,0.2905679141804889,0.5811358283609778,0.0,1.0986122886681098,0.0,0.45814346747882445,0.0,0.0,1.0,0.0,0.0,0.0
2015-05-03,4,2,0.5,0.5865038023371644,2.3460152093486575,0.5,1.6094379124341003,1.0986122886681098,1.2077701480858787,1.0,0.5,0.75,0.25,0.25,0.0
2015-05-04,4,2,0.5,0.5760873193605612,2.304349277442245,0.5,1.6094379124341003,1.0986122886681098,1.1952395635830275,0.0,0.0,1.0,0.0,0.0,0.0
2015-05-05,4,2,0.5,0.4914451474418257,1.9657805897673029,0.5,1.6094379124341003,1.0986122886681098,1.0871402658504177,0.25,0.25,0.75,0.25,0.0,0.0
2015-05-06,1,1,1.0,0.8574726806680991,0.8574726806680991,1.0,0.6931471805599453,0.6931471805599453,0.6192167899205155,1.0,0.0,1.0,0.0,0.0,0.0
2015-05-07,1,0,0.0,0.41741611252157285,0.41741611252157285,0.0,0.6931471805599453,0.0,0.348835574989611,0.0,1.0,1.0,1.0,0.0,0.0
2015-05-12,1,0,0.0,0.42814677081983116,0.42814677081983116,0.0,0.6931471805599453,0.0,0.3563776393219761,1.0,0.0,0.0,0.0,0.0,0.0
2015-05-14,2,2,1.0,0.7507588429891294,1.5015176859782589,1.0,1.0986122886681098,1.0986122886681098,0.9168976220703433,1.0,1.0,0.0,0.0,0.0,0.0
2015-05-15,3,1,0.3333333333333333,0.4373606281818046,1.3120818845454139,0.3333333333333333,1.3862943611198906,0.6931471805599453,0.8381483673738801,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
2015-05-16,2,0,0.0,0.49947565698659235,0.9989513139731847,0.0,1.0986122886681098,0.0,0.6926227000306674,0.0,0.0,1.0,0.0,0.0,0.0
2015-05-17,8,6,0.75,0.6417887947950887,5.134310358360709,0.75,2.1972245773362196,1.9459101490553132,1.8138976608191326,0.875,0.75,0.25,0.0,0.0,0.0
2015-05-18,4,1,0.25,0.46056914220802087,1.8422765688320835,0.25,1.6094379124341003,0.6931471805599453,1.0446053398001123,0.25,0.0,0.75,0.0,0.0,0.0
2015-05-19,2,2,1.0,0.610043069022544,1.220086138045088,1.0,1.0986122886681098,1.0986122886681098,0.7975459960526626,0.5,0.5,0.5,0.0,0.0,0.0
