news_date,n_articles,avg_tone,avg_positivity,avg_negativity,n_climate,n_carbon,n_cleantech,n_energy,n_policy,n_transition,share_climate,share_carbon,share_cleantech,share_energy,share_policy,share_transition
2019-01-07,5298,-1.1695771008429834,1.9289675936268016,2.5579169320963828,5298,1138,678,1380,3410,1380,1.0,0.21479803699509248,0.12797281993204984,0.26047565118912797,0.64363910909777278,0.26047565118912797
2019-01-08,6362,-1.2928304733939038,1.8360155177870643,2.6965097082077909,6362,1143,704,1560,3887,1560,1.0,0.17966048412448915,0.11065702609242377,0.2452059100911663,0.61097139264382272,0.2452059100911663
2019-01-09,6143,-1.2183465861497742,1.8494761919399219,2.8956724694613971,6143,1148,791,1722,4170,1722,1.0,0.18687937489825818,0.12876444733843398,0.28031906234738729,0.67882142275761026,0.28031906234738729
2019-01-10,5366,-1.1691124098895218,1.9326338967867323,2.8132368193545134,5366,1317,666,1655,3375,1655,1.0,0.24543421543048827,0.1241147968691763,0.30842340663436452,0.62896011926947448,0.30842340663436452
2019-01-11,5700,-1.377519443649194,1.8100885901994361,2.8321544689278904,5700,1298,782,1666,3489,1666,1.0,0.22771929824561404,0.13719298245614034,0.292280701754386,0.61210526315789471,0.292280701754386
2019-01-12,3523,-1.2503720217662977,1.670825874300691,2.7164293168627864,3523,614,423,920,2363,920,1.0,0.17428328129435142,0.12006812375816066,0.26114107294919103,0.67073516889015039,0.26114107294919103
2019-01-13,2681,-1.400452794361706,1.7817155693601356,3.0180463109380806,2681,608,398,759,1778,759,1.0,0.226781051846326,0.14845207012308839,0.28310331965684449,0.66318537859007831,0.28310331965684449
2019-01-14,5360,-1.3246241267194816,1.8784436996707092,3.0131248437365965,5360,1075,757,1448,3564,1448,1.0,0.20055970149253732,0.14123134328358208,0.2701492537313433,0.66492537313432831,0.2701492537313433
2019-01-15,6403,-1.1414820141565252,1.9296655126843907,2.8447628493276347,6403,1229,911,1769,4015,1769,1.0,0.19194127752615961,0.14227705762923629,0.27627674527565205,0.62704982039668911,0.27627674527565205
2019-01-16,7382,-1.3527836081456985,1.9815449521926747,3.1083389295312887,7382,983,854,1937,4822,1937,1.0,0.13316174478461121,0.1156868057437009,0.26239501490111083,0.65321051205635328,0.26239501490111083
2019-01-17,7939,-1.1044414232875142,1.7836035450831333,2.856882373890643,7939,1176,861,1972,5131,1972,1.0,0.14812948734097495,0.10845194608892808,0.24839400428265523,0.64630306083889655,0.24839400428265523
2019-01-18,6563,-1.207718157353266,2.0032583854721624,3.087269007700264,6563,1111,709,1524,4088,1524,1.0,0.16928234039311291,0.10802986439128448,0.23221087917111077,0.62288587536187723,0.23221087917111077
2019-01-19,3652,-1.04810543516527,1.9260504818753406,2.7857868601049725,3652,752,356,841,2309,841,1.0,0.20591456736035049,0.097480832420591454,0.23028477546549836,0.63225629791894855,0.23028477546549836
2019-01-20,4288,-1.7073215867752771,1.9387881443541446,3.0445555017988739,4288,588,520,1000,3035,1000,1.0,0.13712686567164178,0.12126865671641791,0.2332089552238806,0.70778917910447758,0.2332089552238806
2019-01-21,5984,-1.274268514666854,1.9894313575528237,3.1211582680221257,5984,1185,551,1427,4036,1427,1.0,0.19802807486631016,0.092078877005347587,0.23846925133689839,0.67446524064171121,0.23846925133689839
2019-01-22,8218,-0.949848936446197,1.9774826887861106,2.4579214418643449,8218,1463,713,1716,5311,1716,1.0,0.17802385008517888,0.0867607690435629,0.20880992942321733,0.64626429788269657,0.20880992942321733
2019-01-23,7246,-0.87701909515140741,2.00295312529261,2.5349829501992218,7246,1652,760,1718,4771,1718,1.0,0.22798785536847915,0.10488545404361027,0.23709632900910849,0.65843223847640076,0.23709632900910849
2019-01-24,7904,-1.2791366302495082,2.156047585848555,3.0567480845399269,7904,1456,713,1936,5396,1936,1.0,0.18421052631578946,0.0902074898785425,0.24493927125506074,0.68269230769230771,0.24493927125506074
2019-01-25,7206,-1.4381683742896392,2.0731313961631339,2.9442119880187811,7206,1332,802,1865,4612,1865,1.0,0.18484596169858453,0.11129614210380238,0.25881210102692204,0.640022203719123,0.25881210102692204
2019-01-26,3895,-1.1081973951438941,1.8756743708393464,2.6457709442961934,3895,656,465,980,2658,980,1.0,0.16842105263157894,0.11938382541720154,0.251604621309371,0.682413350449294,0.251604621309371
2019-01-27,3631,-1.1050595208621981,2.2263189493931455,2.58235524503101,3631,596,600,1135,2494,1135,1.0,0.16414210961167722,0.16524373450839988,0.31258606444505643,0.68686312310658226,0.31258606444505643
2019-01-28,6178,-1.1063843678608107,2.0089155142175565,2.6556221722454536,6178,1042,790,1664,4154,1664,1.0,0.16866299773389445,0.12787309808999675,0.26934282939462612,0.67238588539980582,0.26934282939462612
2019-01-29,7319,-1.399349044127985,1.9311466087954698,2.890099651421965,7319,1079,954,1940,4563,1940,1.0,0.14742451154529307,0.13034567563874846,0.26506353326957233,0.62344582593250442,0.26506353326957233
2019-01-30,7926,-1.4904850182972278,1.9724414682345974,2.9293698571467313,7926,1337,848,1877,4975,1877,1.0,0.16868533938935151,0.10698965430229625,0.23681554377996467,0.62768104970981575,0.23681554377996467
2019-01-31,8803,-1.3949366552268088,2.0057625693125507,2.7485730450255668,8803,1005,806,2314,5171,2314,1.0,0.11416562535499261,0.091559695558332391,0.26286493240940589,0.58741338180165847,0.26286493240940589
2019-02-01,7345,-1.3258134595888409,2.0891051581824516,2.9618657764683651,7345,1030,890,1806,4540,1806,1.0,0.14023144996596323,0.1211708645336964,0.24588155207624235,0.61810755616065349,0.24588155207624235
2019-02-02,4519,-1.3624594791345113,1.9909876374454072,2.8751936225695403,4519,836,433,1006,2628,1006,1.0,0.18499668068156672,0.095817658774065062,0.22261562292542597,0.58154458951095378,0.22261562292542597
2019-02-03,3155,-1.7439269953069743,1.7466893355571305,3.1692508693654742,3155,564,413,756,1847,756,1.0,0.17876386687797147,0.13090332805071314,0.23961965134706814,0.58541996830427889,0.23961965134706814
2019-02-04,5338,-1.1983736495560131,1.953658323137061,2.9998445333189889,5338,877,838,1320,3261,1320,1.0,0.16429374297489696,0.15698763581865868,0.2472836268265268,0.6109029599100787,0.2472836268265268
2019-02-05,5976,-1.082370625984846,2.0791661072822949,2.5880911531886892,5976,872,991,1675,3589,1675,1.0,0.1459170013386881,0.16582998661311915,0.28028781793842034,0.60056894243641235,0.28028781793842034
2019-02-06,6884,-1.4251080353303864,1.814303859625827,2.7008060460814418,6884,927,733,1455,4175,1455,1.0,0.13466008134805346,0.10647879140034863,0.21135967460778618,0.60647879140034866,0.21135967460778618
2019-02-07,7550,-0.93129125810967972,1.7128182875086149,2.4656397526615157,7550,781,1324,1969,4658,1969,1.0,0.10344370860927152,0.17536423841059604,0.260794701986755,0.616953642384106,0.260794701986755
2019-02-08,5852,-0.8125853464471503,1.9140697422375352,2.5040659027685148,5852,785,1159,1867,3678,1867,1.0,0.13414217361585781,0.19805194805194806,0.31903622693096378,0.6285030758714969,0.31903622693096378
2019-02-09,4641,-1.3571515261553959,1.8345298473605909,2.4845278802582955,4641,577,1127,1770,3063,1770,1.0,0.12432665373841845,0.24283559577677225,0.38138332255979313,0.65998707175177762,0.38138332255979313
