news_date,n_articles,n_pred_climate,climate_share,climate_intensity_mean,climate_intensity_sum,log_n_articles,log_n_pred_climate,log_climate_intensity_sum,is_core_climate,is_policy_regulation,is_physical_risk,is_energy_geopolitics,is_cleantech,is_activism_litigation
2015-06-08,3,2,0.6666666666666666,0.64913505,1.9474051,1.3862943611198906,1.0986122886681098,1.0809252,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
2015-06-09,1,0,0.0,0.002835165,0.002835165,0.6931471805599453,0.0,0.0028311536,0.0,0.0,1.0,0.0,0.0,0.0
2015-06-10,5,1,0.2,0.23186867,1.1593434,1.791759469228055,0.6931471805599453,0.7698042,0.4,0.2,0.6,0.2,0.2,0.0
2015-06-11,4,2,0.5,0.5003172,2.0012689,1.6094379124341003,1.0986122886681098,1.0990351,0.5,0.25,0.75,0.0,0.0,0.0
2015-06-12,3,0,0.0,0.0076326653,0.022897996,1.3862943611198906,0.0,0.022639772,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0
2015-06-13,1,0,0.0,0.0057203607,0.0057203607,0.6931471805599453,0.0,0.0057040616,0.0,1.0,1.0,1.0,0.0,0.0
2015-06-16,1,0,0.0,0.0023906026,0.0023906026,0.6931471805599453,0.0,0.0023877497,0.0,0.0,1.0,0.0,0.0,0.0
2015-06-17,1,0,0.0,0.0011192582,0.0011192582,0.6931471805599453,0.0,0.0011186324,0.0,0.0,1.0,0.0,0.0,0.0
2015-06-18,1,1,1.0,0.99958116,0.99958116,0.6931471805599453,0.6931471805599453,0.69293773,1.0,1.0,1.0,1.0,1.0,0.0
2015-06-19,2,0,0.0,0.0019772444,0.003954489,1.0986122886681098,0.0,0.0039466904,0.0,0.0,1.0,0.0,0.0,0.0
2015-06-21,4,2,0.5,0.4728476,1.8913904,1.6094379124341003,1.0986122886681098,1.0617375,0.5,0.25,0.75,0.25,0.0,0.0
2015-06-22,4,3,0.75,0.7488339,2.9953356,1.6094379124341003,1.3862943611198906,1.3851275,0.75,0.75,0.25,0.0,0.0,0.0
2015-06-23,3,3,1.0,0.97098994,2.9129698,1.3862943611198906,1.3862943611198906,1.3642967,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0
2015-06-24,1,1,1.0,0.9975908,0.9975908,0.6931471805599453,0.6931471805599453,0.69194186,1.0,1.0,1.0,1.0,0.0,0.0
2015-06-28,1,1,1.0,0.99961495,0.99961495,0.6931471805599453,0.6931471805599453,0.69295466,1.0,0.0,1.0,0.0,0.0,0.0
2015-06-29,1,0,0.0,0.0012843608,0.0012843608,0.6931471805599453,0.0,0.0012835367,1.0,0.0,1.0,0.0,0.0,0.0
2015-06-30,2,2,1.0,0.99960524,1.9992105,1.0986122886681098,1.0986122886681098,1.0983491,1.0,0.5,1.0,0.5,0.0,0.0
2015-07-01,4,3,0.75,0.66831005,2.6732402,1.6094379124341003,1.3862943611198906,1.3010741,0.75,0.75,0.75,0.0,0.0,0.0
2015-07-02,2,1,0.5,0.5006864,1.0013728,1.0986122886681098,0.6931471805599453,0.69383335,0.5,0.5,1.0,0.0,0.0,0.0
2015-07-03,1,0,0.0,0.037612572,0.037612572,0.6931471805599453,0.0,0.03692247,1.0,1.0,1.0,0.0,0.0,0.0
2015-07-04,1,1,1.0,0.9995271,0.9995271,0.6931471805599453,0.6931471805599453,0.69291073,1.0,1.0,1.0,1.0,1.0,0.0
2015-07-06,4,3,0.75,0.6345001,2.5380003,1.6094379124341003,1.3862943611198906,1.2635617,0.75,0.25,0.25,0.0,0.0,0.0
2015-07-07,3,0,0.0,0.0017463049,0.005238915,1.3862943611198906,0.0,0.0052252393,0.0,0.0,1.0,0.0,0.0,0.0
2015-07-09,2,0,0.0,0.0025611417,0.0051222835,1.0986122886681098,0.0,0.005109209,0.0,1.0,1.0,0.0,0.0,0.0
2015-07-10,5,3,0.6,0.40175408,2.0087705,1.791759469228055,1.3862943611198906,1.1015315,1.0,0.8,0.2,0.8,0.0,0.0
